timestamp,source,content,label
2025-07-30T21:25:58.262847,journalctl,ACPI action undefined: PNP0C0A:00,normal
2025-07-30T21:25:58.371389,journalctl,"<info>  [1753890202.2643] dhcp4 (wlp0s20f3): state changed new lease, address=10.200.59.18",normal
2025-07-30T21:25:58.531670,journalctl,"perf: interrupt took too long (4004 > 3977), lowering kernel.perf_event_max_sample_rate to 49000",normal
2025-07-30T21:26:43.722286,pacman.log,Jul 30 21:26:43	prod1	26317	Received disconnect from 107.95.79.135: 35: Closed due to user request [preauth],normal
2025-07-30T21:26:46.826549,pacman.log,Jul 30 21:26:46	server	21379	Received disconnect from 64.47.147.26: 74: Closed due to user request [preauth],normal
2025-07-30T21:26:49.150245,pacman.log,Jul 30 21:26:49	LabSZ	3337	pam_unix(sshd:session): session closed for user chen,normal
2025-07-30T21:26:53.481999,pacman.log,Jul 30 21:26:53	server	3909	Did not receive identification string from 227.151.252.211,normal
2025-07-30T21:26:56.913442,pacman.log,Jul 30 21:26:56	prod1	29700	Received disconnect from 183.223.31.160: 18: Closed due to user request [preauth],normal
2025-07-30T21:27:01.731525,pacman.log,Jul 30 21:27:01	server	27608	Failed none for invalid user 1 from 146.48.178.99 port 54729 ssh4,anomaly
2025-07-30T21:27:05.999262,pacman.log,"Jul 30 21:27:05	prod1	11077	kernel: panic occurred, switching back to text console",anomaly
2025-07-30T21:27:09.942340,pacman.log,Jul 30 21:27:09	server	7128	Did not receive identification string from 3.187.201.249,normal
2025-07-30T21:27:13.521505,pacman.log,Jul 30 21:27:13	testvm	1343	fatal: Read from socket failed: Connection reset by peer,anomaly
2025-07-30T21:27:16.415329,pacman.log,Jul 30 21:27:16	prod1	23825	PAM service(sshd) ignoring max retries; 6 > 3,normal
2025-07-30T21:27:20.089598,pacman.log,Jul 30 21:27:20	prod1	13140	Accepted password for oracle from 208.215.54.74 port 53253 ssh4,normal
2025-07-30T21:27:22.270693,pacman.log,Jul 30 21:27:22	testvm	25336	Accepted password for ubuntu from 56.129.116.85 port 5660 ssh2,normal
2025-07-30T21:27:25.260500,pacman.log,Jul 30 21:27:25	prod1	29577	pam_unix(sshd:session): session closed for user pgadmin,normal
2025-07-30T21:27:30.212392,pacman.log,Jul 30 21:27:30	prod1	12841	Connection closed by 90.147.158.83 [preauth],normal
2025-07-30T21:27:35.212391,pacman.log,Jul 30 21:27:35	server	14435	Failed password for invalid user oracle from 27.203.94.101 port 43244 ssh1,anomaly
